pelicula,genero,duracion,minutosVistos,porcentajeVisto,numeroVistas,calificacionUsuario,clasificacion
Titanic,Romance,1.86,0.31,-0.13,0.06,1.54,1.18
Forrest Gump,Drama,-0.52,0.36,0.46,0.49,1.4,1.18
The Matrix,Ciencia Ficcion,-0.79,1.79,2.09,-1.25,0.08,1.18
The Godfather,Crimen,0.96,-0.29,-0.47,-0.81,-0.44,-0.25
The Lord of the Rings,Fantasia,1.1,0.31,0.01,0.49,-1.47,-0.25
Forrest Gump,Drama,-0.52,1.69,1.83,0.49,0.7,1.18
La La Land,Musical,-1.15,1.09,1.52,0.49,1.11,1.18
Coco,Infantil,-2.18,-0.87,-0.53,-0.38,1.69,1.18
The Godfather,Crimen,0.96,2.09,1.53,0.49,1.69,1.18
The Godfather,Crimen,0.96,-0.27,-0.44,-1.25,0.89,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.62,-0.5,0.49,-1.0,-1.69
The Godfather,Crimen,0.96,0.28,0.02,-1.25,-0.2,-0.25
La La Land,Musical,-1.15,0.96,1.38,0.49,1.11,1.18
Titanic,Romance,1.86,0.33,-0.11,-1.25,-0.83,-0.25
Gladiator,Accion,0.06,-0.52,-0.54,0.49,-0.29,-0.25
The Lord of the Rings,Fantasia,1.1,1.69,1.14,0.49,-1.57,-0.25
Inception,Ciencia Ficcion,-0.25,1.46,1.47,1.79,0.33,1.18
La La Land,Musical,-1.15,0.71,1.09,0.49,0.9,-0.25
Gladiator,Accion,0.06,-1.32,-1.29,0.92,1.61,1.18
La La Land,Musical,-1.15,-1.02,-0.89,0.92,0.49,-0.25
Inception,Ciencia Ficcion,-0.25,0.74,0.75,-0.81,0.79,-0.25
The Shawshank Redemption,Suspenso,-0.43,0.16,0.23,0.92,-1.6,-0.25
Avengers: Endgame,Accion,1.23,-1.12,-1.17,1.79,-1.63,-1.69
The Shawshank Redemption,Suspenso,-0.43,-1.0,-0.94,0.92,-0.6,-1.69
The Godfather,Crimen,0.96,1.84,1.32,0.92,1.23,1.18
Fight Club,Drama,-0.65,1.49,1.7,1.36,-0.57,1.18
Fight Club,Drama,-0.65,0.71,0.88,-0.38,1.67,1.18
Inception,Ciencia Ficcion,-0.25,-0.69,-0.66,-1.25,-1.16,-1.69
Forrest Gump,Drama,-0.52,-0.02,0.08,-1.25,-1.0,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.95,-0.85,0.06,-0.62,-0.25
The Godfather,Crimen,0.96,-0.9,-0.97,-1.25,0.09,-0.25
The Matrix,Ciencia Ficcion,-0.79,0.08,0.26,3.09,0.59,-0.25
Gladiator,Accion,0.06,-0.69,-0.7,0.06,-0.01,-0.25
Fight Club,Drama,-0.65,-1.45,-1.39,-0.81,-1.41,-1.69
Pulp Fiction,Crimen,0.02,-1.17,-1.15,-0.38,0.3,-0.25
The Lord of the Rings,Fantasia,1.1,-0.92,-1.0,0.06,0.81,-0.25
Gladiator,Accion,0.06,-0.52,-0.54,-0.38,1.55,1.18
Avengers: Endgame,Accion,1.23,-1.17,-1.21,-1.25,-1.34,-1.69
The Lord of the Rings,Fantasia,1.1,-0.37,-0.55,1.36,-1.57,-1.69
Titanic,Romance,1.86,-1.42,-1.43,-0.81,1.2,1.18
Gladiator,Accion,0.06,0.76,0.67,-0.81,-0.51,-0.25
Inception,Ciencia Ficcion,-0.25,-1.57,-1.53,0.06,-0.63,-1.69
Titanic,Romance,1.86,0.08,-0.3,0.92,0.2,-0.25
Interstellar,Ciencia Ficcion,0.69,1.36,1.01,0.06,1.17,1.18
Gladiator,Accion,0.06,-1.32,-1.29,-1.25,-0.92,-1.69
Titanic,Romance,1.86,0.16,-0.24,-0.81,0.4,-0.25
The Godfather,Crimen,0.96,2.34,1.74,-1.25,0.44,1.18
The Lord of the Rings,Fantasia,1.1,-1.0,-1.06,-1.25,0.02,-0.25
The Dark Knight,Accion,-0.07,0.41,0.38,-0.81,-0.03,-0.25
The Dark Knight,Accion,-0.07,1.16,1.1,-0.38,1.43,1.18
The Godfather,Crimen,0.96,0.36,0.08,0.92,-0.02,-0.25
La La Land,Musical,-1.15,-0.14,0.11,-1.25,1.69,1.18
Interstellar,Ciencia Ficcion,0.69,-1.57,-1.53,-0.81,-1.72,-1.69
Avengers: Endgame,Accion,1.23,0.86,0.43,0.92,1.35,1.18
Interstellar,Ciencia Ficcion,0.69,-1.42,-1.4,-0.81,0.93,-0.25
Inception,Ciencia Ficcion,-0.25,-1.22,-1.18,-0.38,0.81,-0.25
Fight Club,Drama,-0.65,-1.15,-1.08,-0.81,-1.72,-1.69
The Matrix,Ciencia Ficcion,-0.79,-0.34,-0.2,-0.38,-0.19,-0.25
The Lord of the Rings,Fantasia,1.1,1.64,1.1,-0.81,1.53,1.18
Interstellar,Ciencia Ficcion,0.69,-1.45,-1.42,-0.38,-0.51,-1.69
Pulp Fiction,Crimen,0.02,1.82,1.69,0.92,1.13,1.18
Inception,Ciencia Ficcion,-0.25,2.09,2.09,-0.81,-0.88,1.18
The Shawshank Redemption,Suspenso,-0.43,-1.12,-1.07,0.92,0.72,-0.25
Forrest Gump,Drama,-0.52,-1.42,-1.37,-0.38,1.69,1.18
The Shawshank Redemption,Suspenso,-0.43,-0.74,-0.68,1.36,1.56,1.18
Avengers: Endgame,Accion,1.23,0.18,-0.12,0.06,1.51,1.18
Inception,Ciencia Ficcion,-0.25,0.08,0.11,0.49,0.72,-0.25
The Lord of the Rings,Fantasia,1.1,0.91,0.51,-1.25,-0.15,-0.25
Titanic,Romance,1.86,1.04,0.42,-1.25,-0.2,-0.25
Gladiator,Accion,0.06,0.46,0.39,-0.38,-0.02,-0.25
The Matrix,Ciencia Ficcion,-0.79,1.06,1.31,-1.25,1.57,1.18
Forrest Gump,Drama,-0.52,0.21,0.31,1.36,-0.63,-0.25
The Shawshank Redemption,Suspenso,-0.43,1.99,2.09,0.06,-1.48,1.18
La La Land,Musical,-1.15,-0.59,-0.4,-0.81,-1.72,-1.69
Forrest Gump,Drama,-0.52,1.77,1.91,0.06,0.93,1.18
Pulp Fiction,Crimen,0.02,-1.3,-1.27,0.06,-1.72,-1.69
Pulp Fiction,Crimen,0.02,-1.12,-1.1,1.36,1.15,1.18
Titanic,Romance,1.86,2.69,1.66,2.23,0.49,1.18
Avengers: Endgame,Accion,1.23,-0.22,-0.44,-1.25,-1.12,-1.69
Pulp Fiction,Crimen,0.02,-0.34,-0.36,-1.25,-0.6,-0.25
Inception,Ciencia Ficcion,-0.25,-0.77,-0.73,-0.38,-1.28,-1.69
The Matrix,Ciencia Ficcion,-0.79,0.59,0.8,0.92,0.3,-0.25
The Lord of the Rings,Fantasia,1.1,-1.4,-1.39,0.06,0.1,-0.25
Titanic,Romance,1.86,-0.8,-0.96,0.49,-0.61,-1.69
Inception,Ciencia Ficcion,-0.25,1.77,1.77,-1.25,0.86,1.18
The Dark Knight,Accion,-0.07,2.19,2.09,0.06,0.02,1.18
La La Land,Musical,-1.15,-0.57,-0.37,0.49,-0.58,-1.69
Gladiator,Accion,0.06,1.01,0.91,-1.25,-0.87,-0.25
Coco,Infantil,-2.18,-0.87,-0.53,1.36,1.6,1.18
Gladiator,Accion,0.06,-0.69,-0.7,0.49,1.41,1.18
Pulp Fiction,Crimen,0.02,1.67,1.54,0.49,0.29,1.18
The Dark Knight,Accion,-0.07,-1.35,-1.31,0.06,1.22,1.18
Interstellar,Ciencia Ficcion,0.69,1.36,1.01,-1.25,-0.26,-0.25
Interstellar,Ciencia Ficcion,0.69,2.09,1.64,-0.81,0.09,1.18
The Lord of the Rings,Fantasia,1.1,1.11,0.67,0.92,0.07,-0.25
Pulp Fiction,Crimen,0.02,-0.44,-0.46,-1.25,-1.33,-1.69
The Shawshank Redemption,Suspenso,-0.43,-1.27,-1.22,0.49,-0.88,-1.69
Inception,Ciencia Ficcion,-0.25,0.06,0.08,-1.25,-1.72,-0.25
Pulp Fiction,Crimen,0.02,1.44,1.33,0.06,0.05,-0.25
Fight Club,Drama,-0.65,-1.27,-1.21,-0.38,-1.01,-1.69
Forrest Gump,Drama,-0.52,1.24,1.37,0.49,-0.98,1.18
The Lord of the Rings,Fantasia,1.1,-1.42,-1.41,0.06,0.1,-0.25
Gladiator,Accion,0.06,0.18,0.13,-0.81,1.31,1.18
Interstellar,Ciencia Ficcion,0.69,-0.52,-0.62,0.06,0.56,1.18
La La Land,Musical,-1.15,-0.19,0.06,-1.25,-0.66,-0.25
The Godfather,Crimen,0.96,-1.17,-1.2,0.92,0.94,1.18
Coco,Infantil,-2.18,0.23,1.01,0.06,-1.21,-0.25
Interstellar,Ciencia Ficcion,0.69,0.21,0.01,-1.25,1.69,1.18
The Lord of the Rings,Fantasia,1.1,-0.57,-0.71,-0.81,0.24,-0.25
Gladiator,Accion,0.06,-0.17,-0.2,-1.25,-1.62,-1.69
The Lord of the Rings,Fantasia,1.1,-0.04,-0.28,-0.38,1.21,1.18
Forrest Gump,Drama,-0.52,1.74,1.89,-0.38,-0.23,1.18
Gladiator,Accion,0.06,-0.87,-0.87,0.49,-1.72,-1.69
Avengers: Endgame,Accion,1.23,0.38,0.04,0.06,-1.5,-0.25
The Godfather,Crimen,0.96,-0.92,-0.99,-0.38,0.03,-0.25
Pulp Fiction,Crimen,0.02,-1.27,-1.24,-0.38,-1.32,-1.69
Avengers: Endgame,Accion,1.23,0.26,-0.06,-0.81,-0.34,-0.25
The Dark Knight,Accion,-0.07,-0.62,-0.61,-0.81,1.39,1.18
La La Land,Musical,-1.15,0.99,1.4,-1.25,0.09,1.18
The Godfather,Crimen,0.96,-1.57,-1.54,0.92,1.68,1.18
Gladiator,Accion,0.06,0.61,0.53,-0.38,-0.36,-0.25
Gladiator,Accion,0.06,0.01,-0.04,-0.81,0.92,1.18
Fight Club,Drama,-0.65,-1.05,-0.97,0.49,-0.39,-0.25
Titanic,Romance,1.86,-0.85,-0.99,-0.38,1.69,1.18
Fight Club,Drama,-0.65,0.99,1.17,-0.38,1.69,1.18
The Matrix,Ciencia Ficcion,-0.79,-0.14,0.01,-1.25,-1.72,-0.25
Fight Club,Drama,-0.65,-1.27,-1.21,0.92,-0.49,-1.69
Inception,Ciencia Ficcion,-0.25,0.56,0.58,0.06,1.69,1.18
The Dark Knight,Accion,-0.07,-0.82,-0.8,1.79,-0.43,-0.25
Avengers: Endgame,Accion,1.23,1.11,0.63,-0.81,0.16,-0.25
Forrest Gump,Drama,-0.52,0.16,0.26,0.92,-0.67,-0.25
Avengers: Endgame,Accion,1.23,1.59,1.02,-0.81,0.91,1.18
Avengers: Endgame,Accion,1.23,1.14,0.65,0.49,0.31,-0.25
The Godfather,Crimen,0.96,-0.77,-0.86,-1.25,-0.79,-1.69
Gladiator,Accion,0.06,-1.52,-1.48,0.49,1.47,1.18
The Matrix,Ciencia Ficcion,-0.79,-0.32,-0.17,0.06,1.35,1.18
The Matrix,Ciencia Ficcion,-0.79,1.41,1.69,-0.38,-1.55,1.18
Forrest Gump,Drama,-0.52,0.96,1.08,0.92,-0.86,-0.25
The Dark Knight,Accion,-0.07,0.08,0.06,-0.38,0.08,-0.25
The Godfather,Crimen,0.96,-0.34,-0.51,-0.81,-1.61,-1.69
Interstellar,Ciencia Ficcion,0.69,-1.35,-1.34,-0.81,1.46,1.18
The Lord of the Rings,Fantasia,1.1,-1.47,-1.45,0.06,-1.01,-1.69
Fight Club,Drama,-0.65,-0.57,-0.47,-0.38,-1.72,-1.69
The Lord of the Rings,Fantasia,1.1,-0.17,-0.38,0.06,-0.81,-0.25
The Lord of the Rings,Fantasia,1.1,-1.1,-1.14,-1.25,-0.94,-1.69
Pulp Fiction,Crimen,0.02,1.04,0.95,-0.81,0.42,-0.25
The Lord of the Rings,Fantasia,1.1,0.08,-0.18,-1.25,-1.72,-1.69
The Matrix,Ciencia Ficcion,-0.79,1.36,1.63,0.92,-1.15,1.18
Fight Club,Drama,-0.65,-0.47,-0.36,1.36,0.22,-0.25
Fight Club,Drama,-0.65,-1.12,-1.05,1.36,-0.92,-1.69
Inception,Ciencia Ficcion,-0.25,-1.22,-1.18,-1.25,0.24,-0.25
The Dark Knight,Accion,-0.07,-1.3,-1.26,-0.81,-1.39,-1.69
Pulp Fiction,Crimen,0.02,-0.39,-0.41,-0.38,-0.81,-1.69
The Lord of the Rings,Fantasia,1.1,-1.5,-1.47,0.49,-0.8,-1.69
Titanic,Romance,1.86,-1.5,-1.48,0.92,1.69,1.18
Interstellar,Ciencia Ficcion,0.69,-1.47,-1.45,-1.25,0.69,-0.25
Avengers: Endgame,Accion,1.23,1.31,0.8,1.36,-0.26,-0.25
Gladiator,Accion,0.06,-0.57,-0.58,1.79,0.4,-0.25
Inception,Ciencia Ficcion,-0.25,1.26,1.27,1.79,1.69,1.18
Fight Club,Drama,-0.65,0.59,0.75,0.49,-0.38,-0.25
Fight Club,Drama,-0.65,-1.22,-1.15,0.49,-0.33,-0.25
The Shawshank Redemption,Suspenso,-0.43,-0.19,-0.12,1.36,-1.68,-1.69
Pulp Fiction,Crimen,0.02,-0.92,-0.91,1.36,-0.22,-0.25
The Lord of the Rings,Fantasia,1.1,-0.29,-0.48,0.49,-0.54,-1.69
La La Land,Musical,-1.15,1.29,1.75,-0.38,0.91,1.18
Pulp Fiction,Crimen,0.02,1.21,1.12,-1.25,-1.0,-0.25
The Shawshank Redemption,Suspenso,-0.43,1.99,2.09,-0.81,-1.6,1.18
Coco,Infantil,-2.18,-0.72,-0.32,-1.25,0.01,-0.25
Avengers: Endgame,Accion,1.23,1.34,0.82,0.92,0.37,-0.25
Pulp Fiction,Crimen,0.02,-0.34,-0.36,0.49,0.43,-0.25
Fight Club,Drama,-0.65,-1.4,-1.34,0.49,-0.83,-1.69
The Matrix,Ciencia Ficcion,-0.79,-1.07,-0.98,0.92,0.53,-0.25
The Godfather,Crimen,0.96,0.46,0.16,0.06,-1.24,-0.25
Fight Club,Drama,-0.65,1.87,2.09,1.79,1.19,1.18
Inception,Ciencia Ficcion,-0.25,-0.19,-0.16,0.06,-1.72,-1.69
The Dark Knight,Accion,-0.07,-0.34,-0.35,1.36,0.3,-0.25
Coco,Infantil,-2.18,1.01,2.09,-1.25,1.27,1.18
The Shawshank Redemption,Suspenso,-0.43,0.44,0.51,-0.38,-1.72,-0.25
Interstellar,Ciencia Ficcion,0.69,-0.54,-0.64,0.49,-0.02,-0.25
Gladiator,Accion,0.06,2.27,2.09,-1.25,0.76,1.18
Interstellar,Ciencia Ficcion,0.69,-1.2,-1.21,-0.38,-0.5,-0.25
La La Land,Musical,-1.15,1.49,1.98,-1.25,0.45,1.18
Fight Club,Drama,-0.65,0.21,0.35,-1.25,-1.72,-0.25
Inception,Ciencia Ficcion,-0.25,0.18,0.21,-1.25,0.43,1.18
The Lord of the Rings,Fantasia,1.1,-0.44,-0.61,0.06,1.69,1.18
Fight Club,Drama,-0.65,-0.01,0.12,0.92,1.52,1.18
The Dark Knight,Accion,-0.07,-1.2,-1.17,0.92,-0.24,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.9,-0.79,-0.81,0.05,-0.25
Avengers: Endgame,Accion,1.23,-1.47,-1.46,1.36,0.37,-0.25
Titanic,Romance,1.86,-1.57,-1.54,-0.38,1.69,1.18
Gladiator,Accion,0.06,1.72,1.57,0.06,-1.22,1.18
The Dark Knight,Accion,-0.07,-1.27,-1.24,-1.25,0.76,1.18
The Shawshank Redemption,Suspenso,-0.43,0.64,0.72,-0.81,-1.57,-0.25
The Lord of the Rings,Fantasia,1.1,2.02,1.41,0.06,0.67,1.18
The Shawshank Redemption,Suspenso,-0.43,1.36,1.46,0.92,-1.34,1.18
Fight Club,Drama,-0.65,-1.0,-0.92,-0.38,0.99,1.18
Inception,Ciencia Ficcion,-0.25,-0.64,-0.61,0.92,-1.37,-1.69
The Dark Knight,Accion,-0.07,-1.45,-1.41,0.92,-1.36,-1.69
Forrest Gump,Drama,-0.52,-0.57,-0.49,-0.81,0.47,1.18
The Lord of the Rings,Fantasia,1.1,-0.87,-0.96,0.06,1.69,1.18
La La Land,Musical,-1.15,-0.97,-0.83,1.79,1.68,1.18
Inception,Ciencia Ficcion,-0.25,0.79,0.8,1.36,0.5,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.54,-0.42,-0.81,0.68,1.18
The Lord of the Rings,Fantasia,1.1,-0.02,-0.26,-1.25,0.08,-0.25
The Shawshank Redemption,Suspenso,-0.43,-1.22,-1.17,0.06,-1.61,-1.69
The Lord of the Rings,Fantasia,1.1,0.36,0.05,1.36,1.6,1.18
Titanic,Romance,1.86,0.59,0.08,-1.25,-0.8,-0.25
Fight Club,Drama,-0.65,1.61,1.83,1.36,1.05,1.18
Pulp Fiction,Crimen,0.02,0.21,0.16,-1.25,-0.73,-0.25
The Shawshank Redemption,Suspenso,-0.43,0.01,0.08,1.79,0.95,1.18
Titanic,Romance,1.86,-1.17,-1.24,0.49,-0.22,-0.25
La La Land,Musical,-1.15,0.21,0.52,3.09,-1.34,-0.25
Coco,Infantil,-2.18,1.01,2.09,-0.38,-0.91,1.18
Gladiator,Accion,0.06,-0.02,-0.06,0.06,0.29,-0.25
The Godfather,Crimen,0.96,1.82,1.3,0.49,-1.72,-0.25
Pulp Fiction,Crimen,0.02,-1.27,-1.24,-0.81,-1.72,-1.69
Fight Club,Drama,-0.65,1.36,1.56,0.06,0.18,1.18
Forrest Gump,Drama,-0.52,-0.67,-0.6,3.53,-1.65,-1.69
Pulp Fiction,Crimen,0.02,-0.24,-0.27,-1.25,-0.83,-1.69
Gladiator,Accion,0.06,0.61,0.53,0.92,-0.69,-0.25
Inception,Ciencia Ficcion,-0.25,0.59,0.6,0.49,-0.7,-0.25
Forrest Gump,Drama,-0.52,1.79,1.94,-1.25,-1.31,1.18
The Shawshank Redemption,Suspenso,-0.43,-1.4,-1.35,0.06,1.11,1.18
Forrest Gump,Drama,-0.52,0.61,0.72,0.06,0.99,1.18
The Dark Knight,Accion,-0.07,-0.14,-0.15,-0.38,-0.37,-0.25
Gladiator,Accion,0.06,1.04,0.93,-1.25,0.23,-0.25
Coco,Infantil,-2.18,-1.27,-1.09,0.06,-1.1,-1.69
The Lord of the Rings,Fantasia,1.1,-0.52,-0.67,-0.81,0.47,-0.25
Titanic,Romance,1.86,0.31,-0.13,-0.38,-1.0,-1.69
Pulp Fiction,Crimen,0.02,-0.09,-0.12,-1.25,1.43,1.18
The Dark Knight,Accion,-0.07,-0.34,-0.35,-1.25,1.22,1.18
Avengers: Endgame,Accion,1.23,0.56,0.19,-0.38,-1.1,-0.25
Forrest Gump,Drama,-0.52,0.64,0.75,0.06,1.69,1.18
The Dark Knight,Accion,-0.07,0.59,0.55,1.79,-1.41,-0.25
La La Land,Musical,-1.15,1.34,1.81,0.92,0.17,1.18
Interstellar,Ciencia Ficcion,0.69,-0.04,-0.21,-0.81,-0.95,-1.69
Gladiator,Accion,0.06,-0.24,-0.27,0.49,1.49,1.18
Titanic,Romance,1.86,-0.29,-0.58,-1.25,-1.08,-1.69
The Matrix,Ciencia Ficcion,-0.79,1.49,1.77,-1.25,1.14,1.18
Inception,Ciencia Ficcion,-0.25,-0.22,-0.19,-0.81,-0.13,-0.25
Forrest Gump,Drama,-0.52,1.39,1.52,0.49,0.63,1.18
Gladiator,Accion,0.06,-0.54,-0.56,-0.81,1.09,1.18
The Matrix,Ciencia Ficcion,-0.79,0.99,1.23,-1.25,-0.32,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.8,-0.69,-0.81,0.51,-0.25
Avengers: Endgame,Accion,1.23,0.28,-0.04,0.06,1.3,1.18
Fight Club,Drama,-0.65,0.28,0.43,-0.81,0.64,1.18
Titanic,Romance,1.86,-1.12,-1.2,-1.25,-0.98,-1.69
The Dark Knight,Accion,-0.07,1.74,1.66,-0.38,-0.71,1.18
The Matrix,Ciencia Ficcion,-0.79,-0.24,-0.09,-0.38,0.96,1.18
Interstellar,Ciencia Ficcion,0.69,-1.07,-1.1,1.79,-1.38,-1.69
Avengers: Endgame,Accion,1.23,0.99,0.53,0.06,0.19,-0.25
Gladiator,Accion,0.06,-0.32,-0.35,0.49,1.42,1.18
Avengers: Endgame,Accion,1.23,0.76,0.35,-0.38,0.24,-0.25
The Godfather,Crimen,0.96,-1.15,-1.18,0.49,-0.43,-1.69
The Godfather,Crimen,0.96,0.54,0.23,-1.25,1.67,1.18
The Lord of the Rings,Fantasia,1.1,-1.57,-1.54,-1.25,0.01,-0.25
Avengers: Endgame,Accion,1.23,1.14,0.65,-0.81,1.04,1.18
La La Land,Musical,-1.15,-1.1,-0.97,0.49,0.82,1.18
The Lord of the Rings,Fantasia,1.1,-0.02,-0.26,0.49,0.4,-0.25
Forrest Gump,Drama,-0.52,-1.55,-1.5,0.06,-0.71,-0.25
The Lord of the Rings,Fantasia,1.1,-0.9,-0.98,-1.25,-1.0,-1.69
The Shawshank Redemption,Suspenso,-0.43,0.44,0.51,0.49,1.69,1.18
The Dark Knight,Accion,-0.07,-0.29,-0.3,-1.25,0.62,1.18
The Shawshank Redemption,Suspenso,-0.43,-1.02,-0.97,0.06,-1.72,-1.69
The Matrix,Ciencia Ficcion,-0.79,-1.07,-0.98,0.92,-0.64,-1.69
Gladiator,Accion,0.06,-0.22,-0.25,0.49,-0.87,-1.69
Forrest Gump,Drama,-0.52,-1.3,-1.24,0.49,-0.31,-0.25
Pulp Fiction,Crimen,0.02,-1.3,-1.27,0.06,1.69,1.18
The Matrix,Ciencia Ficcion,-0.79,-0.34,-0.2,0.06,-0.81,-1.69
The Dark Knight,Accion,-0.07,-1.17,-1.14,-0.81,-1.44,-1.69
The Godfather,Crimen,0.96,-1.55,-1.51,-1.25,-0.33,-0.25
Titanic,Romance,1.86,-0.19,-0.5,-1.25,1.56,1.18
La La Land,Musical,-1.15,0.94,1.35,-1.25,-0.13,-0.25
The Lord of the Rings,Fantasia,1.1,0.03,-0.22,0.92,-1.21,-1.69
Fight Club,Drama,-0.65,0.21,0.35,-0.81,1.17,-0.25
Gladiator,Accion,0.06,-0.09,-0.13,1.36,0.8,1.18
Inception,Ciencia Ficcion,-0.25,1.16,1.18,-1.25,1.19,1.18
Titanic,Romance,1.86,0.59,0.08,1.79,-0.59,-0.25
The Shawshank Redemption,Suspenso,-0.43,-1.45,-1.4,0.06,-0.97,-1.69
The Lord of the Rings,Fantasia,1.1,-0.85,-0.94,-0.38,0.33,-0.25
Forrest Gump,Drama,-0.52,-1.55,-1.5,-1.25,-0.04,-0.25
The Shawshank Redemption,Suspenso,-0.43,-1.12,-1.07,-1.25,1.52,1.18
Gladiator,Accion,0.06,-1.17,-1.15,-0.38,0.83,-0.25
The Shawshank Redemption,Suspenso,-0.43,0.51,0.59,-1.25,0.48,-0.25
Gladiator,Accion,0.06,-0.04,-0.09,0.49,-0.35,-0.25
The Shawshank Redemption,Suspenso,-0.43,-0.87,-0.81,-0.38,-0.57,-0.25
Titanic,Romance,1.86,1.04,0.42,-1.25,-0.99,-0.25
Avengers: Endgame,Accion,1.23,-1.15,-1.19,-1.25,0.4,-0.25
Interstellar,Ciencia Ficcion,0.69,0.51,0.27,0.49,0.55,1.18
Titanic,Romance,1.86,0.41,-0.05,-0.38,-1.52,-0.25
Avengers: Endgame,Accion,1.23,-0.8,-0.91,0.49,0.28,-0.25
Pulp Fiction,Crimen,0.02,-0.27,-0.29,0.49,1.69,1.18
The Matrix,Ciencia Ficcion,-0.79,1.59,1.88,1.36,1.66,1.18
The Matrix,Ciencia Ficcion,-0.79,0.94,1.18,-0.38,-1.56,-0.25
The Dark Knight,Accion,-0.07,0.74,0.69,-0.38,-1.02,-0.25
La La Land,Musical,-1.15,0.84,1.23,-1.25,-1.72,-0.25
La La Land,Musical,-1.15,-0.34,-0.11,-0.38,1.23,1.18
The Lord of the Rings,Fantasia,1.1,-0.82,-0.92,-0.38,0.2,-0.25
