metros_cuadrados,habitaciones,banos,ubicacion_puntuacion,precio_alquiler
109,4,1,3.6816,2071.5992
138,4,2,5.7124,3135.9778
111,4,1,7.2788,4564.2630
140,3,1,8.1682,5827.1442
82,3,2,5.1341,3715.8486
53,1,1,8.5788,1781.1999
55,4,2,7.9203,2747.2028
118,1,2,1.5961,2249.3565
89,4,1,1.4128,1723.7131
138,4,1,6.5873,4437.2075
70,3,2,4.1267,2971.2877
58,3,1,2.8822,1899.8864
44,2,1,6.2168,2579.9525
74,3,1,4.0741,2267.5785
94,2,2,5.8354,2560.2294
118,2,2,5.1411,4250.0979
100,2,1,6.2629,3065.9354
38,2,2,4.6027,3202.7588
117,2,2,7.2790,2776.6190
30,1,2,2.6206,2018.0531
137,3,2,7.2685,3987.0995
37,2,2,4.7050,1342.2373
117,4,1,8.8689,2695.6486
92,3,1,5.6371,3655.1925
40,3,1,9.7580,4391.3036
144,2,2,6.4174,4418.0302
110,1,2,3.0146,2012.2596
37,2,1,8.3961,1769.0632
64,1,2,4.1057,2297.6852
64,4,1,4.1286,1910.5596
62,3,1,1.2862,1679.5670
34,4,1,5.9384,3814.7829
135,1,2,5.8098,4496.7137
132,1,2,4.2039,3809.9610
70,4,1,9.0480,4792.4175
57,1,1,2.1587,1263.9975
36,4,1,3.9709,1804.8041
102,3,1,3.8942,2800.5597
101,4,2,1.8306,2128.2737
41,3,2,5.3303,2040.1577
63,4,1,7.1901,3103.7730
62,1,1,5.6049,1785.2788
77,4,2,2.4128,2081.8253
148,1,2,4.3956,4099.5313
52,4,1,1.0234,1667.0810
91,4,1,8.8147,3091.3883
117,2,1,1.7607,2525.2924
66,1,2,6.3755,3335.0780
128,2,2,9.8763,2778.7110
73,1,2,5.8293,2434.5761
133,2,1,9.3164,3527.5949
115,3,1,3.1250,1849.7777
120,4,2,7.8396,5876.9268
64,1,2,5.7814,2649.1188
94,1,1,7.4846,4721.9767
128,4,2,1.5611,2438.3163
130,1,2,2.3297,1924.9764
76,1,1,2.1981,1581.9988
107,2,2,7.1845,2526.7710
32,1,1,8.6000,3110.5054
30,3,1,7.7465,4163.9585
34,3,1,1.2742,1539.1490
119,4,1,8.8049,5030.0545
148,1,1,4.1873,2535.7395
43,4,1,4.5745,1565.9327
132,3,1,1.9438,2051.4805
56,1,2,7.6366,3722.3400
38,1,1,2.6406,943.1027
108,4,1,6.0757,2603.1171
44,3,2,8.5664,3564.4637
119,1,2,1.8028,1875.6476
71,4,2,5.8180,2393.9226
106,3,1,3.0989,1799.1894
80,4,2,4.0863,3190.7847
92,2,1,5.2657,3108.5331
125,1,1,4.1959,2786.3084
132,2,1,6.8394,2588.3284
142,3,1,5.3162,4180.3466
81,2,2,6.2578,3531.5499
125,2,2,7.6314,3314.1829
33,3,1,6.0197,3609.6218
123,4,1,6.2788,3312.8925
130,2,1,6.0801,3507.9482
52,4,2,4.4090,2885.9217
132,2,1,4.0370,2481.5154
138,4,1,9.0968,6244.6056
44,3,2,6.4680,4044.1795
72,2,2,3.1992,2221.4080
58,3,1,5.4842,1751.8228
65,2,2,3.9731,1570.2641
42,3,2,9.4032,2985.4473
61,3,1,1.0678,1533.5914
100,2,2,3.0280,2232.6559
88,2,1,4.2882,2685.3593
144,2,2,5.3903,4140.1930
115,1,1,8.6574,2772.3352
57,4,1,1.7910,1800.8914
95,1,1,8.2528,2152.7766
71,1,2,1.5009,1997.8119
74,3,1,8.5808,3714.2194
91,2,2,1.4647,1730.5983
86,4,1,1.1642,1508.6847
146,3,1,7.2727,4012.7675
35,1,2,9.9753,4507.9974
57,2,1,9.0695,4669.0308
57,3,1,6.1840,3288.2065
137,2,2,9.2566,3153.8149
73,3,1,1.0477,1173.5486
113,2,1,9.7756,2947.5689
59,1,1,5.4167,2604.4894
91,4,1,7.5061,4774.0953
104,1,2,8.3878,3596.2180
148,4,2,7.4661,3043.9054
121,2,1,5.8153,3567.3667
118,3,2,5.2896,4195.7748
132,1,1,8.5472,4962.6283
91,4,2,2.8457,2790.4005
126,1,1,9.7119,3259.4622
30,4,1,7.3986,1920.1268
56,1,1,2.7956,2154.7336
91,4,1,7.6262,3947.4381
145,4,1,5.7686,3203.2454
106,2,1,7.3651,4340.9930
134,4,2,7.9100,5586.6995
32,2,1,1.7856,1320.3238
132,4,2,5.5549,4385.4463
99,3,1,9.3881,3827.3558
101,3,2,3.8858,2890.8241
56,3,2,6.3449,2984.2005
38,4,2,4.3231,2855.4715
91,2,1,5.0884,3650.4665
66,2,1,5.9374,3556.4652
126,4,2,5.9403,2920.5600
80,3,1,2.8156,2630.3831
135,3,2,7.1611,4946.5873
73,2,1,1.7908,1711.8449
53,3,2,2.2494,2019.5449
108,1,2,1.0244,1640.4278
88,2,1,2.0503,1861.7038
147,3,2,5.2585,3648.7591
61,2,1,6.4549,1809.6673
125,1,2,8.1486,3217.0769
117,2,2,1.9603,2393.7427
134,2,1,8.6565,5596.8618
81,2,1,7.7138,2551.4528
142,2,1,4.6767,2464.0478
91,1,2,9.3964,4763.9373
142,4,1,9.9184,2589.6630
87,2,2,2.8450,1749.6028
81,2,2,4.4131,1658.1292
41,3,1,9.3380,2269.4799
68,2,1,7.4944,2301.0085
31,3,2,1.4329,1391.1760
32,4,2,8.0336,3223.3759
142,1,1,8.4515,5282.1577
130,1,1,7.7545,3793.4570
142,4,1,8.1958,5070.1267
85,1,1,8.4262,2344.3968
110,4,1,2.6776,1910.2183
88,4,2,3.1212,2708.5705
142,4,2,6.7038,2965.1362
31,1,2,9.1708,3388.7580
31,3,2,3.8458,2277.5811
121,4,1,6.2948,3679.7361
83,2,1,7.1468,1931.0022
116,1,1,5.0675,2307.6607
130,4,2,7.4240,4727.1446
125,4,2,9.0970,3509.9643
126,2,1,6.6169,4033.2195
30,3,1,5.8580,3096.1724
48,3,2,4.9487,3446.9050
31,3,2,6.1974,2036.9531
82,4,1,4.1983,3381.1798
73,4,1,4.5233,2909.5930
119,4,2,5.7867,3348.5007
61,1,1,1.5996,1159.2108
99,2,1,3.0612,2790.2340
61,4,1,5.8856,2186.6514
148,2,2,4.8838,2814.1116
97,2,2,3.9953,1867.9285
84,3,2,7.5749,4671.8249
104,1,2,7.2435,4355.0769
85,4,2,2.5006,2319.0657
46,3,2,8.9077,2952.6564
67,3,2,5.4588,2258.2722
53,4,1,7.6731,3714.1520
98,2,1,6.1584,3393.1340
145,3,1,9.9792,3527.4399
127,2,1,7.7716,4499.7012
99,1,1,7.3628,4814.9461
